id,name,folder,creator,type,database,source_databases,uses_uk,uses_de,uses_es,created_at,updated_at,last_run,last_any_run,last_viewed_at,view_count,archived,url,has_template_tags,has_alias_self_ref,table_count,tables,snowflake_keywords,snowflake_keyword_total,snowflake_keyword_detail,last_run_errored,last_run_zero_rows,dashboard_count,dashboards,total_runs,total_runs_6m,dashboard_runs_6m,direct_runs_6m,unique_users_total,unique_users_6m,total_views_6m,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
1156,syc_finance_cars_cancelled_last8months,Carwow / Operations,Miguel Faria,native,Snowflake UK,carwow,False,False,False,2023-05-24T06:06:14.664395Z,2026-03-12T21:20:36.668262Z,2026-06-08T17:53:36.37412Z,,2026-06-08T17:53:36.353756Z,1532,False,https://carwow.metabaseapp.com/question/1156,False,False,1,carwow.syc_listing_milestones.listing_dimension,1,1,DATEADD:1,,,1,Transport invoice,2186,11,3,8,69,3,3,1,1,1,1,3,4
1162,syc_finance_cars_collected_last3months,Carwow / Operations,Miguel Faria,native,Snowflake UK,uk,True,False,False,2023-05-24T06:44:28.34744Z,2026-03-12T23:37:40.969467Z,2026-02-04T15:36:56.663488Z,,2026-02-04T15:36:56.651306Z,1447,False,https://carwow.metabaseapp.com/question/1162,False,False,2,"uk.commercial.syc_finance_invoiced_cars, uk.quotes_site.selling_listings",1,1,DATEADD:1,,,0,,595,4,0,4,6,3,3,0,3,1,0,0,0
4695,syc_finance_cars_collected_last8months_new,Carwow / Operations,Miguel Faria,native,Snowflake UK,carwow,False,False,False,2024-03-08T17:46:38.028223Z,2026-03-12T21:20:21.328643Z,2026-04-07T16:25:28.9563Z,,2026-02-04T15:37:17.026495Z,30,False,https://carwow.metabaseapp.com/question/4695,False,False,1,carwow.syc_listing_milestones.listing_dimension,1,1,DATEADD:1,,,0,,5313,28,0,28,7,3,1,11,3,6,3,1,4
4694,syc_finance_cars_collectionpending_last8months,Carwow / Operations,Miguel Faria,native,Snowflake UK,carwow,False,False,False,2024-03-08T14:24:15.598583Z,2026-03-13T02:31:45.846779Z,2026-06-08T17:53:36.37412Z,,2026-06-08T17:53:36.351414Z,1164,False,https://carwow.metabaseapp.com/question/4694,False,False,1,carwow.syc_listing_milestones.listing_dimension,1,1,DATEADD:1,,,1,Transport invoice,2218,12,3,9,70,3,3,1,2,1,1,3,4
6481,syc_finance_cars_collectionpending_last8months,Our analytics (root),Pedro Miguel Sousa de Oliveira,gui,Snowflake UK,,False,False,False,2024-09-06T08:46:48.130669Z,2026-03-12T23:37:36.241005Z,2025-09-11T12:49:20.230261Z,,2025-09-11T12:49:19.820957Z,8,False,https://carwow.metabaseapp.com/question/6481,False,False,1,question:4694,0,0,,,,0,,7,0,0,0,3,0,0,0,0,0,0,0,0
3402,SYC Time to Collection,Carwow / UK,Matt Cockerill,native,Snowflake UK,carwow,False,False,False,2023-06-08T14:19:55.226426Z,2026-03-13T01:47:41.180395Z,2026-04-13T13:16:43.599628Z,,2026-04-13T13:16:43.588285Z,225,False,https://carwow.metabaseapp.com/question/3402,False,False,1,carwow.syc_listing_milestones.listing_milestones,1,3,DATEDIFF:3,,,0,,817,191,0,191,4,3,4,36,31,34,34,32,24
4495,System tasks,Usage analytics,Metabase Internal,gui,,,False,False,False,2023-11-13T18:43:58.096941Z,2026-05-21T21:37:18.403929Z,2026-02-03T16:55:21.119455Z,,,0,False,https://carwow.metabaseapp.com/question/4495,False,False,1,public.v_tasks,0,0,,,,0,,2,2,0,2,1,1,0,0,2,0,0,0,0
4516,Tables,Usage analytics,Metabase Internal,gui,,,False,False,False,2023-10-31T21:46:14.039531Z,2026-05-21T21:37:18.403929Z,2026-06-15T08:20:07.878872Z,,2025-09-02T11:27:59.102634Z,4,False,https://carwow.metabaseapp.com/question/4516,False,False,1,public.v_tables,0,0,,,,0,,14,10,0,10,2,1,0,0,10,0,0,0,0
23299,Tables +content Lakshmi,Usage analytics / Custom reports,Lakshmi Nittur,gui,,,False,False,False,2026-02-19T16:05:44.666334Z,2026-03-12T23:37:34.249179Z,2026-04-29T11:59:33.504523Z,,,0,False,https://carwow.metabaseapp.com/question/23299,False,False,1,public.v_tables,0,0,,,,0,,4,4,0,4,2,2,0,0,1,0,3,0,0
23300,Tables - Lakshmi,Usage analytics / Custom reports,Lakshmi Nittur,gui,,,False,False,False,2026-02-19T16:07:56.870913Z,2026-03-12T23:37:38.112918Z,2026-02-19T16:07:58.527893Z,,,0,False,https://carwow.metabaseapp.com/question/23300,False,False,1,public.v_tables,0,0,,,,0,,1,1,0,1,1,1,0,0,1,0,0,0,0
